Liste aller jemals vergebenen ersten Bubennamen 1984-2020,,,,,
,,,,,
Vorname,,Anzahl,Rang,Anzahl,Rang
Abdüsselam,Abdussalam,2,7.058,-,-
Abdüsselâm,Abdussalam,1,10.287,-,-
Abdussettar,Abdussettar,1,10.287,-,-
Abdyl,Abdyl,1,10.287,-,-
Abed,Abed,6,3.749,1,1.772
Abedallah,Abedallah,1,10.287,-,-
Abedin,Abedin,4,4.736,-,-
Abel,Abel,76,821,5,701
Ábel,Abel,20,1.840,4,815
Àbel,Abel,1,10.287,-,-
Abel-Adrian,Abel-Adrian,1,10.287,-,-
Abelardo,Abelardo,1,10.287,-,-
Abel-Beniamin,Abel-Beniamin,1,10.287,-,-
Abel-Benjamin,Abel-Benjamin,1,10.287,-,-
Abel-Bryan,Abel-Bryan,1,10.287,-,-
Abel-Filip,Abel-Filip,1,10.287,-,-
Abel-İonatan,Abel-İonatan,1,10.287,-,-
Abel-Jeovanni,Abel-Jeovanni,1,10.287,-,-
Abel-Nicolae,Abel-Nicolae,1,10.287,-,-
Abel-Valentino,Abel-Valentino,1,10.287,-,-
Abenezer,Abenezer,1,10.287,-,-
Abes,Abes,1,10.287,-,-
Abgar,Abgar,1,10.287,-,-
Abhaj,Abhaj,1,10.287,-,-
Abhay,Abhay,5,4.151,1,1.772
Abhi,Abhi,2,7.058,-,-
Abhijot,Abhijot,2,7.058,-,-
Abhik,Abhik,1,10.287,-,-
Abhinav,Abhinav,1,10.287,-,-
Abhiroop,Abhiroop,1,10.287,-,-
Abhishek,Abhishek,2,7.058,-,-
Abi,Abi,1,10.287,-,-
Abiam,Abiam,1,10.287,-,-
Abid,Abid,10,2.802,-,-
Abidin,Abidin,3,5.593,-,-
Abiel,Abel,5,4.151,-,-
Abiel-Natan,Abiel-Natan,1,10.287,-,-
Abijot,Abijot,3,5.593,-,-
Abil,Abel,1,10.287,-,-
Abill,Abel,1,10.287,-,-
Abimelech,Abimelech,1,10.287,-,-
Abir,Abir,3,5.593,-,-
Abjan,Abjan,1,10.287,-,-
Abkar,Abkar,1,10.287,-,-
Ablie,Ablie,1,10.287,-,-
Abner,Abner,3,5.593,1,1.772
Abner-Alin,Abner-Alin,1,10.287,-,-
Abobakar,Abobakar,1,10.287,-,-
Abolfazl,Abolfazl,13,2.407,-,-
Aboobaker,Aboobaker,1,10.287,-,-
Aboubacar,Aboubacar,2,7.058,-,-
Aboubacar-Sidiki,Aboubacar-Sidiki,1,10.287,-,-
Abouda,Abouda,1,10.287,1,1.772
Aboudah,Aboudah,1,10.287,-,-
Above,Above,1,10.287,-,-
Abraam,Ibrahim,2,7.058,-,-
Abraham,Ibrahim,48,1.102,2,1.219
Abraham-David,Abraham-David,1,10.287,-,-
Abram,Avram,3,5.593,-,-
Abrar,Abrar,5,4.151,1,1.772
Abraxas,Abraxas,1,10.287,-,-
Abrian,Abrian,1,10.287,-,-
Abris,Abris,1,10.287,-,-
Ábris,Abris,1,10.287,-,-
Abti,Abti,1,10.287,-,-
Abtin,Abtin,8,3.186,2,1.219
Abu,Abu,20,1.840,1,1.772
Abualhasan,Abualhasan,1,10.287,-,-
Abubacarr,Abubacarr,1,10.287,-,-
Abubakar,Ebubekir,52,1.049,1,1.772
Abu-Bakar,Ebubekir,17,2.047,-,-
Abubaker,Ebubekir,6,3.749,1,1.772
Abubakr,Ebubekir,19,1.900,1,1.772
Abu-Bakr,Ebubekir,6,3.749,-,-
Abubeshir,Abubeshir,1,10.287,-,-
Abu-Halid,Abu-Halid,1,10.287,-,-
Abujahjah,Abujahjah,1,10.287,-,-
Abul,Abul,1,10.287,-,-
Abulfazel,Abulfazel,1,10.287,-,-
Abulfazl,Abulfazl,6,3.749,-,-
Abu-Muhammad,Abu-Muhammad,1,10.287,-,-
Abu-Muslim,Abu-Muslim,2,7.058,-,-
Abundance,Abundance,1,10.287,-,-
Abu-Sallah,Abu-Sallah,1,10.287,-,-
Abusayaf,Abusayaf,1,10.287,-,-
Abu-Sufian,Abu-Sufian,1,10.287,-,-
Abu-Talal,Abu-Talal,1,10.287,-,-
Abutalib-Alan,Abutalib-Alan,1,10.287,-,-
Abuzar,Abuzar,3,5.593,1,1.772
Abuzer,Abuzer,3,5.593,-,-
Abyan,Abyan,1,10.287,-,-
Abyaz,Abyaz,1,10.287,-,-
Acar,Acar,1,10.287,-,-
Ace,Ace,7,3.427,2,1.219
Ace-Jericho,Ace-Jericho,1,10.287,-,-
Achill,Achill,5,4.151,1,1.772
Achille,Achille,2,7.058,-,-
Achilleas,Achilleas,9,2.968,-,-
Achilles,Achilles,10,2.802,1,1.772
Achilles-Elvin,Achilles-Elvin,1,10.287,1,1.772
Achilleus,Achilleus,1,10.287,-,-
Achim,Achim,147,548,1,1.772
Achim-Andrei,Achim-Andrei,1,10.287,-,-
Achim-John,Achim-John,1,10.287,-,-
Achint,Achint,1,10.287,-,-
Achmad,Ahmed,10,2.802,-,-
Achmed,Ahmed,26,1.565,-,-
Achmed-Karim,Achmed-Karim,1,10.287,-,-
Achmet,Ahmed,2,7.058,1,1.772
Achraf,Achraf,3,5.593,-,-
Achror,Achror,1,10.287,-,-
Aćim,Aćim,1,10.287,-,-
Acun,Acun,1,10.287,-,-
Ada,Ada,13,2.407,-,-
Adahan,Adahan,2,7.058,-,-
Adal,Adal,4,4.736,-,-
Adalbero,Albert,1,10.287,-,-
Adalbert,Albert,17,2.047,-,-
Adalet,Adalet,1,10.287,-,-
Adalsteinn,Adalsteinn,1,10.287,-,-
Adam,Adam,1.760,121,190,46
Ádam,Adam,1,10.287,-,-
Ádám,Adam,59,963,7,554
Adama,Adam,2,7.058,-,-
Adam-Alexander,Adam-Alexander,1,10.287,-,-
Adam-Andre,Adam-Andre,1,10.287,-,-
Adamas,Adamas,1,10.287,-,-
Adam-Gabriel,Adam-Gabriel,1,10.287,-,-
Adam-Johann,Adam-Johann,1,10.287,-,-
Adam-Leonardo,Adam-Leonardo,1,10.287,-,-
Adam-Luca,Adam-Luca,1,10.287,-,-
Adam-Nicolaie,Adam-Nicolaie,1,10.287,1,1.772
Adamo,Adam,1,10.287,-,-
Adams,Adam,3,5.593,-,-
Adam-Simon,Adam-Simon,1,10.287,-,-
Adan,Adam,5,4.151,-,-
Adán,Adam,1,10.287,-,-
Adar,Adar,32,1.385,3,969
Adar-Adil,Adar-Adil,1,10.287,-,-
Addi,Addi,3,5.593,-,-
Addis,Addis,2,7.058,-,-
Ade,Ade,1,10.287,-,-
Adebisi,Adebisi,1,10.287,-,-
Adebo,Adebo,1,10.287,-,-
Adebola,Adebola,1,10.287,1,1.772
Adebowale,Adebowale,2,7.058,-,-
Adeel,Adeel,3,5.593,-,-
Adefemi,Adefemi,1,10.287,-,-
Adein,Adein,1,10.287,1,1.772
Adel,Adil,59,963,4,815
Adelbert,Albert,1,10.287,-,-
Adelin,Adelin,6,3.749,1,1.772
Adelin-Andrei,Adelin-Andrei,1,10.287,1,1.772
Adelin-Ionuț,Adelin-Ionuț,1,10.287,1,1.772
Adelin-Ionuṭ,Adelin-Ionuț,1,10.287,-,-
Adelino-Daniel,Adelino-Daniel,1,10.287,-,-
Adelin-Stefan,Adelin-Stefan,1,10.287,1,1.772
Adell,Adell,1,10.287,-,-
Adella,Adella,1,10.287,-,-
Adelmo,Adelmo,2,7.058,-,-
Adelon,Adelon,1,10.287,-,-
Adem,Adam,329,344,21,271
Ademcan,Ademcan,1,10.287,-,-
Adem-Efe,Adem-Efe,1,10.287,-,-
Adem-Emir,Adem-Emir,1,10.287,-,-
Adem-Hüseyin,Adem-Hüseyin,1,10.287,-,-
Ademir,Ademir,1,10.287,-,-
Adem-Neil,Adem-Neil,1,10.287,-,-
Ademola,Ademola,1,10.287,-,-
Adem-Yasin,Adem-Yasin,1,10.287,-,-
Aden,Aden,8,3.186,-,-
Adeola,Adeola,1,10.287,-,-
Adesh,Adesh,2,7.058,-,-
Adetokunbo,Adetokunbo,1,10.287,-,-
Adetomiwa,Adetomiwa,1,10.287,-,-
Adeyansa,Adeyansa,1,10.287,-,-
Adham,Adam,37,1.276,1,1.772
Adhamh,Adam,1,10.287,-,-
Adhem,Adam,1,10.287,-,-
Adhiban,Adhiban,1,10.287,-,-
Adhisha,Adhisha,1,10.287,-,-
Adhrit,Adhrit,1,10.287,-,-
Adhurim,Adhurim,6,3.749,-,-
Adi,Adi,29,1.469,1,1.772
Adian,Adian,144,551,15,339
Adiat,Adiat,1,10.287,-,-
