Vornamen Neugeborene Wien nach Geschlecht und Aussprache seit 2010 / First names of newborns in Vienna since 2010, aggregation by sex and pronunciation
"NUTS";"DISTRICT_CODE";"SUB_DISTRICT_CODE";"REF_YEAR";"REF_DATE";"SEX";"RANK";"NAME";"NAME_ALL";"N";"PERC_SEX"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Lennard";"Lennard";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Maksim";"Maxim";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Nathan";"Nathan";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Nicolai";"Nikolai";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Severin";"Severin";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Yigit";"Yigit";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Baran";"Baran";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Berkay";"Berkay";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Ensar";"Ensar";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Frederik";"Frederik";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Jonah";"Jonah";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Karim";"Karim";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Konrad";"Konrad";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Leander";"Leander";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Melih";"Melih";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Murat";"Murat";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Nino";"Nino";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Taha";"Taha";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"185";"Utku";"Utku";"8";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Abdul";"Abdul";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Aleksa";"Aleksa";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Alperen";"Alperen";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Boris";"Boris";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Can";"Can";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Cem";"Cem";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Damian";"Damian";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Damjan";"Damjan";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Darko";"Darko";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Deni";"Deni";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Dusan";"Dusan";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Ege";"Ege";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Emilian";"Emilian";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Eymen";"Eymen";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Igor";"Igor";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Isa";"Isa";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Musa";"Musa";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Olivier";"Olivier";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Rayan";"Rayan";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Ruben";"Ruben";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Sandro";"Sandro";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Semih";"Semih";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Tarik";"Tarik";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"Umar";"Umar";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"198";"William";"William";"7";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Adnan";"Adnan";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Adriano";"Adriano";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Alan";"Alan";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Aldin";"Aldin";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Bernhard";"Bernhard";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Bogdan";"Bogdan";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Camillo";"Camillo";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Carl";"Karl";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Emre";"Emre";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Fatih";"Fatih";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Ilias";"Ilyas";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Ilija";"Ilija";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Imran";"Imran";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"James";"James";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Jamie";"Jamie";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"John";"John";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Kai";"Kai";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Kian";"Kian";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Lars";"Lars";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Levi";"Levi";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Milo";"Milo";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Musab";"Musab";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Nikita";"Nikita";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Osman";"Osman";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Ralph";"Ralph";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Ramazan";"Ramazan";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Roman";"Roman";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Tyler";"Tyler";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Uros";"Uros";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Vitus";"Vitus";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"223";"Xavier";"Xavier";"6";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Abdulkadir";"Abdulkadir";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Albin";"Albin";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Alen";"Alen";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Anthony";"Anthony";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Aras";"Aras";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Arif";"Arif";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Azad";"Azad";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Cristiano";"Cristiano";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Dion";"Dion";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Dragan";"Dragan";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Edin";"Edin";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Elvin";"Elvin";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Fares";"Fares";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Fridolin";"Fridolin";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Friedrich";"Friedrich";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Güney";"Güney";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Hugo";"Hugo";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Johann";"Johann";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Kamil";"Kamil";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Karol";"Karol";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Laurin";"Laurin";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Lionel";"Lionel";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Lucian";"Lucian";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Marlon";"Marlon";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Michel";"Michel";"5";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"254";"Miguel";"Miguel";"5";"0,1"
