375,AXEL,5527,"12,9"
376,ABDERRAHIM,5481,"39,8"
377,EVARISTO,5465,"63,5"
378,ADAN,5453,"22,2"
379,KARIM,5407,"29,9"
380,MARCIAL,5387,"61,5"
381,"ANTONIO FRANCISCO",5375,"48,9"
382,MAURICIO,5336,"47,7"
383,LIAM,5334,"4,9"
384,"MANUEL ALEJANDRO",5320,"33,4"
385,MICHAEL,5306,"36,9"
386,PATRICIO,5286,"54,2"
387,MAX,5274,"10,8"
388,ELISEO,5273,"61,2"
389,"FRANCISCO LUIS",5263,"50,8"
390,HAMID,5242,"42,7"
391,LAUREANO,5206,"63,2"
392,NOAH,5174,"6,7"
393,BRIAN,5137,"25,6"
394,NARCISO,5130,"62,9"
395,"PEDRO JAVIER",5128,"42,5"
396,ALAIN,5118,"23,5"
397,PELAYO,5027,"21,5"
398,CAMILO,5022,"54,2"
399,AMIR,5010,"8,3"
400,"CARLOS JOSE",5004,"45,3"
401,CECILIO,4999,"63,2"
402,BENIGNO,4980,"66,4"
403,BERNARDINO,4958,"63,8"
404,LEOPOLDO,4956,"59,3"
405,ROQUE,4953,"44,5"
406,ISMAIL,4854,23
407,CONSTANTIN,4849,47
408,SEGUNDO,4844,"68,1"
409,ZAKARIA,4825,"17,6"
410,MAMADOU,4789,"36,7"
411,"PEDRO MIGUEL",4767,48
412,"JOSE GABRIEL",4764,"44,6"
413,"FRANCISCO BORJA",4757,"39,2"
414,LLUC,4700,"11,8"
415,PAUL,4644,"34,7"
416,MARIAN,4641,"42,9"
417,VALERIANO,4641,"64,9"
418,ELOI,4625,"19,9"
419,DENIS,4624,"21,7"
420,"FRANCISCO ASIS",4596,47
421,DEMETRIO,4578,65
422,"JOSE FELIX",4572,"53,4"
423,JAMAL,4563,"38,8"
424,"JOSE RAFAEL",4559,"50,9"
425,RODOLFO,4556,"57,2"
426,"JESUS MIGUEL",4551,"47,2"
427,CESAREO,4547,"65,2"
428,OCTAVIO,4546,"54,2"
429,TEO,4519,"7,5"
430,"JOSE PEDRO",4458,"51,1"
431,"LUIS FRANCISCO",4435,"47,7"
432,"JOSE ALEJANDRO",4424,"36,7"
433,MOUSSA,4400,"34,8"
434,"MANUEL FRANCISCO",4375,52
435,DRISS,4360,"45,9"
436,ABDESLAM,4358,"50,9"
437,BERNABE,4339,"56,4"
438,BEÑAT,4332,"18,8"
439,LAZARO,4325,"54,3"
440,"ALBERTO JOSE",4317,"43,7"
441,AZIZ,4316,"39,5"
442,BIENVENIDO,4296,63
443,IGNASI,4261,"36,7"
444,FLORIN,4231,"39,9"
445,LUCIO,4228,"64,2"
446,NICOLAE,4212,46
447,"JUAN ENRIQUE",4201,"49,3"
448,BALTASAR,4200,"60,2"
449,CIPRIANO,4197,"66,8"
450,ALESSANDRO,4169,"27,8"
451,ANSELMO,4162,"63,5"
452,"CARLOS ENRIQUE",4152,"47,4"
453,"JESUS JAVIER",4141,"47,6"
454,ANASTASIO,4138,"68,4"
455,"JOSE DOMINGO",4134,"51,9"
456,"PABLO JOSE",4128,"38,2"
457,AYMAN,4124,"10,7"
458,SAMIR,4111,"31,9"
459,"GUSTAVO ADOLFO",4101,44
460,AMADEO,4076,"61,7"
461,NOE,4072,24
462,ANIBAL,4060,"40,8"
463,"JORGE JUAN",4035,"47,5"
464,VICENT,4035,"31,8"
465,"VICTOR JOSE",4034,"41,1"
466,NABIL,4028,27
467,UNAX,4007,"10,1"
468,"JUAN GABRIEL",3999,"38,8"
469,KILIAN,3993,"14,8"
470,ORLANDO,3990,"50,4"
471,ADAY,3989,12
472,CELSO,3983,62
473,PLACIDO,3982,"63,1"
474,"MARCOS ANTONIO",3975,43
475,IBON,3962,"31,3"
476,"LUIS ALFONSO",3956,"47,7"
477,ADIL,3947,"32,3"
478,YASSIN,3939,"16,9"
479,"LUIS EDUARDO",3938,"40,7"
480,EULOGIO,3912,"65,8"
481,FULGENCIO,3897,"62,2"
482,"JUAN FERNANDO",3891,"47,7"
483,"ALEJANDRO JOSE",3883,"32,6"
484,"VICENTE JOSE",3876,"51,3"
485,IBAN,3870,"37,4"
486,YOUNES,3845,"23,7"
487,IMRAN,3841,"11,9"
488,CASIMIRO,3827,"67,2"
489,"JOSE PABLO",3807,"44,4"
490,ALEXANDRU,3793,"35,3"
491,"EDUARDO JOSE",3779,"42,7"
492,TEOFILO,3770,"68,7"
493,BALDOMERO,3743,"61,9"
494,"CARLOS ANTONIO",3718,46
495,HERMINIO,3680,65
496,NORBERTO,3664,"54,4"
497,GAIZKA,3656,"28,2"
498,MAXIMINO,3633,"65,9"
499,"CARLOS ANDRES",3623,"34,7"
500,"JOSE TOMAS",3619,"50,4"
501,"JOSE JESUS",3580,"52,2"
502,"JESUS ALBERTO",3560,"42,6"
503,ROC,3556,"10,3"
504,MAXIMILIANO,3553,"47,9"
505,"ANTONIO MARIA",3551,"55,5"
506,"ANDRES FELIPE",3519,"27,8"
507,"MIGUEL ANTONIO",3512,49
508,YOEL,3511,"13,8"
509,"ANTONIO DAVID",3495,"30,2"
510,VIDAL,3461,"59,5"
511,MARINO,3456,61
512,AQUILINO,3443,"63,6"
513,"JOSE EDUARDO",3438,"48,8"
514,NACHO,3430,"9,9"
515,NOUREDDINE,3420,41
516,"JOSE ALFONSO",3404,"52,2"
517,ANXO,3399,"15,5"
518,"JUAN SEBASTIAN",3396,"31,4"
519,STEFAN,3382,"41,5"
520,YAHYA,3379,"23,1"
521,"JOSE EMILIO",3359,"53,9"
522,EDER,3350,"17,7"
523,"PEDRO ANGEL",3339,"49,2"
524,GUMERSINDO,3338,"66,3"
525,MARIUS,3327,"37,6"
526,"ENRIQUE JOSE",3312,"47,6"
527,ISAIAS,3309,"44,8"
528,MELCHOR,3308,60
529,BELTRAN,3300,"13,2"
530,"ANGEL JOSE",3284,"50,2"
531,"LUIS FELIPE",3280,"44,1"
532,"FRANCISCO RAMON",3278,"50,8"
533,ALEJO,3267,"39,4"
534,BONIFACIO,3266,"67,5"
535,ANDREI,3260,"29,4"
536,MIHAI,3253,"42,5"
