512,SABRINA,4223,"27,5"
513,CLOE,4210,"6,6"
514,"MARIA SALUD",4207,"57,3"
515,RUT,4207,"32,3"
516,ALINA,4203,"31,3"
517,"FATIMA ZAHRA",4196,"20,8"
518,BALBINA,4177,"71,4"
519,"MARIA MERCE",4173,"57,7"
520,XENIA,4166,"20,8"
521,THAIS,4165,"22,7"
522,"PAULA MARIA",4147,"30,2"
523,SALOME,4130,"35,5"
524,"MARIA EMILIA",4072,"55,1"
525,HAFIDA,4063,"44,8"
526,SAIOA,4057,"27,1"
527,ICIAR,4048,"36,7"
528,"MARIA FE",4042,"58,4"
529,"MARIA CELIA",4014,"60,7"
530,"MARIA MARGARITA",4012,"59,1"
531,ARIANA,4010,"17,5"
532,ARLET,4007,"6,2"
533,IKRAM,4004,"24,1"
534,EVELYN,3998,"23,4"
535,"ANA CARMEN",3997,"50,6"
536,"ELISA ISABEL",3993,"46,5"
537,NAJAT,3989,"41,1"
538,"FRANCISCA MARIA",3988,"52,4"
539,ZAHRA,3988,"42,3"
540,IMANE,3960,"23,4"
541,GUILLERMINA,3952,"63,9"
542,DINA,3948,"22,9"
543,ADA,3938,"17,7"
544,IVET,3913,"11,2"
545,LORETO,3892,"40,9"
546,"CLARA ISABEL",3891,"47,9"
547,GRACIELA,3876,"44,8"
548,OIHANE,3841,"22,3"
549,IZARO,3830,"13,3"
550,ILUMINADA,3826,"68,3"
551,FELICIANA,3782,"72,1"
552,LUCIANA,3780,"45,1"
553,JACQUELINE,3774,"45,2"
554,SIHAM,3760,"29,8"
555,ZAIDA,3759,"27,3"
556,SABELA,3738,17
557,NINA,3727,"33,9"
558,ZOHRA,3721,"51,4"
559,SALUD,3705,"64,4"
560,FELICITAS,3678,"74,2"
561,HAYAT,3666,"35,2"
562,"MARIA SANDRA",3661,"45,3"
563,"LUISA FERNANDA",3656,40
564,IGNACIA,3650,"72,4"
565,SIRA,3649,"25,6"
566,IRUNE,3647,24
567,EUSEBIA,3619,"74,4"
568,"MARIA GABRIELA",3605,"39,2"
569,NAIRA,3604,"14,9"
570,KAREN,3594,"28,6"
571,OLIVA,3591,"68,9"
572,"MARIA VANESA",3575,"40,7"
573,INOCENCIA,3563,"72,3"
574,PASTORA,3553,58
575,"MARIA FELISA",3551,"62,5"
576,PRESENTACION,3548,"71,3"
577,"MARIA SUSANA",3539,"51,5"
578,VICTORINA,3519,"76,3"
579,ENGRACIA,3515,"72,5"
580,PAZ,3504,"54,9"
581,IRYNA,3499,"42,8"
582,IMAN,3496,"17,3"
583,LUZ,3485,"49,8"
584,"MARIA CECILIA",3485,52
585,DESIRE,3481,"25,3"
586,JAMILA,3475,"40,9"
587,BRUNA,3469,"15,2"
588,BIBIANA,3462,"47,8"
589,SACRAMENTO,3457,67
590,"MARIA ADELA",3449,"58,3"
591,NICOLASA,3440,"71,9"
592,OLAYA,3432,"23,4"
593,DAMARIS,3428,"28,2"
594,"CLARA MARIA",3422,"40,9"
595,JANIRE,3400,"27,1"
596,FAUSTINA,3398,72
597,"MARIA EULALIA",3393,"57,9"
598,"MARIA ESTER",3389,"49,4"
599,LEILA,3385,"25,4"
600,FATNA,3381,"52,2"
601,CYNTHIA,3347,"25,2"
602,MINA,3343,"44,3"
603,SERAFINA,3343,"70,6"
604,HALIMA,3340,"38,9"
605,FERMINA,3320,"72,1"
606,HENAR,3305,"25,3"
607,HANAN,3296,34
608,CELESTINA,3292,72
609,MARAVILLAS,3291,"59,5"
610,"MARIA LORENA",3277,"41,6"
611,MAIA,3273,"12,5"
612,JARA,3267,"15,9"
613,OKSANA,3254,"43,5"
614,DUNIA,3249,"23,1"
615,ABIGAIL,3248,"22,4"
616,NOUR,3242,"6,3"
617,"MARIA VIRGINIA",3238,"49,2"
618,YESICA,3237,"32,8"
619,BIANCA,3228,"16,9"
620,SATURNINA,3220,"75,3"
621,ELISENDA,3214,"43,2"
622,AITZIBER,3209,"37,1"
623,"FATIMA ZOHRA",3199,"32,1"
624,GARAZI,3178,"20,1"
625,DANIELLA,3175,"9,1"
626,"DULCE MARIA",3172,"47,5"
627,MAYA,3160,"13,9"
628,SIMONA,3157,"46,8"
629,"MARIA CLARA",3141,"53,6"
630,SVETLANA,3141,"47,9"
631,MELANIE,3138,"25,2"
632,CASILDA,3127,"60,9"
633,CONCEPCIO,3126,"71,4"
634,"MARIA ANGELICA",3126,"50,1"
635,"ROSA ISABEL",3126,"51,6"
636,MICHELLE,3122,"22,8"
637,CARMELA,3120,"45,2"
638,NEKANE,3115,"31,7"
639,MADDI,3112,"12,9"
640,"MARIA ESTELA",3107,"46,4"
641,MARYAM,3101,"18,3"
642,MELISSA,3092,23
643,ANNE,3085,"24,6"
644,MELISA,3078,"27,2"
645,YURENA,3065,"32,6"
646,OLALLA,3061,"32,3"
647,NICOLETA,3052,"39,8"
648,JONE,3050,"26,8"
649,OLENA,3043,"44,3"
650,HIBA,3038,"10,9"
651,"BLANCA MARIA",3031,"43,3"
652,PAMELA,3023,"36,2"
653,NAOMI,3020,"17,2"
654,"TERESA MARIA",3020,"50,7"
655,PASCUALA,3003,"71,8"
