Contents,,,,
,,,,
"Table 6: Top names for baby girls1,2, 2017",,,,
England and Wales
Source: https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/datasets/babynamesenglandandwalesbabynamesstatisticsgirls
License: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
,,,,
,,,,
Rank,Name,Count3,,
733,HUMAIRA ,55,,
733,KACEY ,55,,
733,PRECIOUS ,55,,
740,AMALIE ,54,,
740,ASMA ,54,,
740,BAILEY ,54,,
740,CHARLEY ,54,,
740,FRIDA ,54,,
740,HAJRA ,54,,
740,KAROLINA ,54,,
740,KATY ,54,,
740,LOWRI ,54,,
740,MARA ,54,,
740,PAYTON ,54,,
740,SIMRAN ,54,,
740,STEFANIA ,54,,
753,ANASTAZJA ,53,,
753,ARWEN ,53,,
753,CECILY ,53,,
753,DAISY-MAY ,53,,
753,DELIA ,53,,
753,DULCIE ,53,,
753,KADIE ,53,,
753,MACI ,53,,
753,MAHIRA ,53,,
753,MARTA ,53,,
753,SELINA ,53,,
764,CALI ,52,,
764,CARMEN ,52,,
764,CELINE ,52,,
764,LISA ,52,,
764,MIAH ,52,,
764,RITA ,52,,
764,SUMMER-ROSE ,52,,
771,ADALINE ,51,,
771,ARIYAH ,51,,
771,ASHLEIGH ,51,,
771,BLANKA ,51,,
771,ELSIE-ROSE ,51,,
771,GIULIA ,51,,
771,GLORIA ,51,,
771,LORENA ,51,,
771,MELISA ,51,,
771,NUSAYBAH ,51,,
771,RAHMA ,51,,
771,SAARA ,51,,
771,SAFFRON ,51,,
771,SHELBY ,51,,
785,ALARA ,50,,
785,ARWA ,50,,
785,BOBBI ,50,,
785,ELLE ,50,,
785,GRACIE-MAI ,50,,
785,IOANA ,50,,
785,JONI ,50,,
785,RAISA ,50,,
785,ROMA ,50,,
785,SUMAYA ,50,,
785,WINIFRED ,50,,
785,XANTHE ,50,,
797,ASHLEY ,49,,
797,CHIARA ,49,,
797,EZMAE ,49,,
797,HARRIETTE ,49,,
797,JOCELYN ,49,,
797,KATELYN ,49,,
797,MEGHAN ,49,,
797,MILAN ,49,,
797,MYLAH ,49,,
797,NEL ,49,,
797,ZAINA ,49,,
808,CAMILLE ,48,,
808,ELENI ,48,,
808,ENYA ,48,,
808,MARGAUX ,48,,
808,ROISIN ,48,,
808,TAHLIA ,48,,
814,AISHAH ,47,,
814,ALLEGRA ,47,,
814,BRONTE ,47,,
814,CADI ,47,,
814,DANIA ,47,,
814,DARLA ,47,,
814,EFA ,47,,
814,ELERI ,47,,
814,ESHAL ,47,,
814,HONOR ,47,,
814,ISHA ,47,,
814,JUNIPER ,47,,
814,MADELYN ,47,,
814,MAISEY ,47,,
814,MARLIE ,47,,
814,MATHILDA ,47,,
814,NANCIE ,47,,
814,RONNIE ,47,,
814,ROXANNE ,47,,
814,SAANVI ,47,,
814,SAFIA ,47,,
814,TEGAN ,47,,
836,AMIYA ,46,,
836,ANABIA ,46,,
836,ANIYA ,46,,
836,AVA-MAY ,46,,
836,BLUEBELL ,46,,
836,CORDELIA ,46,,
836,FERNE ,46,,
836,FIONA ,46,,
836,GAIA ,46,,
836,HARLEE ,46,,
836,HAWWA ,46,,
836,JEMIMAH ,46,,
836,KIANA ,46,,
836,NAHLA ,46,,
836,PALOMA ,46,,
836,PAULA ,46,,
836,ROSALIND ,46,,
836,RUMAISA ,46,,
836,SAARAH ,46,,
855,AASIYAH ,45,,
855,AMANAH ,45,,
855,ANISA ,45,,
855,ASIYAH ,45,,
855,DALIA ,45,,
855,ELIA ,45,,
855,ELOUISE ,45,,
855,EVA-ROSE ,45,,
855,JANNAH ,45,,
855,LACEY-MAE ,45,,
855,LORELEI ,45,,
855,NIEVE ,45,,
855,NYAH ,45,,
855,SERENITY ,45,,
855,TESSA ,45,,
870,AAIRAH ,44,,
870,AAMINA ,44,,
870,ANWEN ,44,,
870,DANIELLE ,44,,
870,ELAINA ,44,,
870,HADIYA ,44,,
870,HAYA ,44,,
870,JIYA ,44,,
870,LILIANNA ,44,,
870,LILITH ,44,,
870,MALAK ,44,,
870,MALIA ,44,,
870,MARIYA ,44,,
870,MILA-ROSE ,44,,
870,NELLA ,44,,
870,ROSEANNA ,44,,
870,STORM ,44,,
870,TIANNA ,44,,
870,ZAYNAH ,44,,
889,ALYA ,43,,
889,BOBBIE ,43,,
889,FLORRIE ,43,,
889,HEATHER ,43,,
889,HUDA ,43,,
889,LAYAN ,43,,
889,LYLA-ROSE ,43,,
889,MALIHA ,43,,
889,RYLEE ,43,,
889,SANAYA ,43,,
899,ALISSA ,42,,
899,ANNIKA ,42,,
899,CAOIMHE ,42,,
899,DOLLIE ,42,,
899,EILIDH ,42,,
899,ELSIE-MAY ,42,,
899,FARRAH ,42,,
899,GIA ,42,,
899,KHADEEJAH ,42,,
899,MARNI ,42,,
899,MARTYNA ,42,,
899,MIRUNA ,42,,
899,NANSI ,42,,
899,SANDRA ,42,,
899,VIOLA ,42,,
899,ZUNAIRAH ,42,,
915,BEATRIZ ,41,,
915,CHANEL ,41,,
915,CLAIRE ,41,,
915,ELINA ,41,,
915,ELLIE-ROSE ,41,,
915,GEORGIANA ,41,,
915,HUSNA ,41,,
915,ISLA-RAE ,41,,
915,KADY ,41,,
915,KIMBERLEY ,41,,
915,LEEN ,41,,
915,LEONA ,41,,
915,MARTINA ,41,,
915,MICHALINA ,41,,
915,SAMARA ,41,,
915,SHANNON ,41,,
915,ZARAH ,41,,
915,ZAYNA ,41,,
933,AVNI ,40,,
933,BEAUX ,40,,
933,BRIDGET ,40,,
933,DARCIE-MAE ,40,,
933,EILIYAH ,40,,
933,INARA ,40,,
933,INDI ,40,,
933,IVIE ,40,,
933,KLAUDIA ,40,,
933,MELINA ,40,,
933,MERRYN ,40,,
933,PERSEPHONE ,40,,
933,REBEKAH ,40,,
933,SAMIRA ,40,,
933,UMAIZA ,40,,
933,WILLA ,40,,
949,ALAINA ,39,,
949,ANAIYA ,39,,
949,CARLY ,39,,
949,CATALEYA ,39,,
949,CHAYA ,39,,
949,ELOWEN ,39,,
949,INGRID ,39,,
949,KELSEY ,39,,
949,LEXI-MAE ,39,,
949,MARIAH ,39,,
949,MARIE ,39,,
949,MATYLDA ,39,,
949,NALA ,39,,
949,NAYLA ,39,,
949,NUALA ,39,,
949,PRISHA ,39,,
949,SHANIA ,39,,
949,TRIXIE ,39,,
949,VERA ,39,,
968,AVNEET ,38,,
968,BIANKA ,38,,
968,DAHLIA ,38,,
968,ELYSIA ,38,,
968,ESME-ROSE ,38,,
968,ISLA-GRACE ,38,,
968,LILLIANA ,38,,
968,MONICA ,38,,
968,NAYA ,38,,
968,PIA ,38,,
968,ROMILLY ,38,,
968,ROZA ,38,,
968,TAYA ,38,,
968,ZOHA ,38,,
982,ABBY ,37,,
982,AMARAH ,37,,
982,ARISSA ,37,,
982,AVANI ,37,,
982,DARCI ,37,,
982,HANIA ,37,,
982,JULIE ,37,,
982,KIMBERLY ,37,,
982,LARISSA ,37,,
982,LUELLA ,37,,
982,MARCELINA ,37,,
982,MAYSA ,37,,
