Frecuencias de nombres masculinos,,,
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2017,,,
INE.es
,,,
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.,,,
(*) Edad media de las personas que tienen ese nombre a nivel nacional.,,,
,,,
Orden,Nombre,Frecuencia,Edad Media (*)
479,IBAN,3.703 ,"33,7"
480,ANTONIO MARIA,3.674 ,"52,7"
481,MELCHOR,3.666 ,"58,4"
482,HIPOLITO,3.665 ,"64,1"
483,JOSE TOMAS,3.659 ,"47,8"
484,NOE,3.657 ,"22,6"
485,MARIUS,3.652 ,"34,5"
486,MIHAI,3.627 ,"39,9"
487,SAMIR,3.626 ,"29,1"
488,ROSENDO,3.607 ,"60,3"
489,STEFAN,3.605 ,"39,7"
490,JOSE JESUS,3.597 ,"49,5"
491,ELEUTERIO,3.594 ,"66,4"
492,ARSENIO,3.588 ,"64,1"
493,GUSTAVO ADOLFO,3.580 ,"41,6"
494,GAIZKA,3.578 ,"25,1"
495,ZAKARIA,3.570 ,"14,7"
496,ISMAIL,3.549 ,"20,9"
497,CARLOS ANTONIO,3.521 ,"43,0"
498,VIRGILIO,3.521 ,"62,4"
499,EDUARDO JOSE,3.495 ,"40,2"
500,HIGINIO,3.492 ,"63,4"
501,JOSE ALFONSO,3.476 ,"49,1"
502,MOUSSA,3.464 ,"34,5"
503,JOSE EMILIO,3.462 ,"50,6"
504,ALEJANDRO JOSE,3.448 ,"29,7"
505,NABIL,3.440 ,"24,1"
506,ANTONIO DAVID,3.439 ,"26,9"
507,UNAX,3.402 ,"7,5"
508,AYMAN,3.398 ,"8,3"
509,PEDRO ANGEL,3.380 ,"46,0"
510,URBANO,3.375 ,"65,1"
511,MIGUEL ANTONIO,3.365 ,"46,7"
512,MAXIMILIANO,3.359 ,"50,9"
513,ALESSANDRO,3.352 ,"26,4"
514,JOSE EDUARDO,3.349 ,"46,1"
515,YASSIN,3.336 ,"14,1"
516,LUIS EDUARDO,3.330 ,"38,2"
517,AUGUSTO,3.320 ,"55,4"
518,FRANCISCO RAMON,3.313 ,"47,5"
519,ISAIAS,3.303 ,"45,3"
520,SEVERINO,3.303 ,"65,9"
521,ENRIQUE JOSE,3.288 ,"44,4"
522,ANGEL JOSE,3.273 ,"47,4"
523,CEFERINO,3.237 ,"64,3"
524,VENANCIO,3.235 ,"65,0"
525,PEDRO JUAN,3.233 ,"50,8"
526,ABELARDO,3.220 ,"59,2"
527,ADIL,3.220 ,"29,4"
528,JESUS ALBERTO,3.213 ,"40,3"
529,ALEJO,3.181 ,"40,6"
530,JOSE JULIAN,3.178 ,"48,6"
531,KILIAN,3.138 ,"14,4"
532,NOAH,3.138 ,"5,6"
533,JOSE RAUL,3.122 ,"40,9"
534,NOUREDDINE,3.113 ,"38,5"
535,INOCENCIO,3.109 ,"66,1"
536,JOSE BENITO,3.108 ,"57,4"
537,DUMITRU,3.103 ,"45,1"
538,MANUEL MARIA,3.093 ,"51,7"
539,JORGE MANUEL,3.068 ,"40,5"
540,ARKAITZ,3.051 ,"27,9"
541,JUAN RAFAEL,3.049 ,"46,3"
542,JOSE AGUSTIN,3.047 ,"50,9"
543,DIEGO JOSE,3.029 ,"34,3"
544,LANDER,3.029 ,"20,2"
545,MIMOUN,3.020 ,"45,5"
546,TEO,3.017 ,"5,9"
547,YOUNES,3.009 ,"22,5"
548,ANDREI,3.004 ,"26,6"
549,ANXO,3.003 ,"13,3"
550,PRIMITIVO,2.999 ,"67,6"
551,JOSE RICARDO,2.992 ,"48,0"
552,ENDIKA,2.991 ,"22,8"
553,JON ANDER,2.983 ,"27,3"
554,LUIS FELIPE,2.980 ,"42,9"
555,YOEL,2.980 ,"11,4"
556,FERNANDO JAVIER,2.977 ,"43,2"
557,JORGE ANTONIO,2.964 ,"41,4"
558,BAUTISTA,2.952 ,"66,5"
559,IONEL,2.952 ,"42,2"
560,ANGEL ANTONIO,2.940 ,"47,0"
561,GENARO,2.924 ,"61,5"
562,CARLOS JESUS,2.916 ,"39,6"
563,CARLOS ANDRES,2.914 ,"31,9"
564,EDER,2.905 ,"15,9"
565,BRAULIO,2.898 ,"57,2"
566,CONRADO,2.890 ,"57,6"
567,RICHARD,2.889 ,"35,7"
568,LUIS JOSE,2.867 ,"46,2"
569,BRYAN,2.862 ,"13,7"
570,MOHAMMAD,2.853 ,"41,3"
571,NEMESIO,2.850 ,"66,3"
572,URKO,2.841 ,"20,7"
573,PRUDENCIO,2.817 ,"64,4"
574,VICTOR HUGO,2.816 ,"37,9"
575,DELFIN,2.807 ,"62,9"
576,GENIS,2.803 ,"20,8"
577,AGAPITO,2.793 ,"67,9"
578,JUAN CRUZ,2.787 ,"53,8"
579,NACHO,2.782 ,"7,4"
580,LEONCIO,2.741 ,"66,7"
581,BELTRAN,2.734 ,"11,6"
582,JOSE JULIO,2.718 ,"49,6"
583,AGUSTI,2.715 ,"53,7"
584,EFREN,2.709 ,"31,7"
585,JACOB,2.701 ,"29,1"
586,SECUNDINO,2.698 ,"66,7"
587,ADAY,2.697 ,"13,0"
588,FAUSTO,2.692 ,"59,1"
589,HUMBERTO,2.691 ,"47,7"
590,INDALECIO,2.691 ,"60,1"
591,GIOVANNI,2.683 ,"32,2"
592,MOSTAFA,2.678 ,"42,5"
593,JULIO ALBERTO,2.671 ,"35,5"
594,JUAN SEBASTIAN,2.670 ,"31,0"
595,OLEKSANDR,2.658 ,"37,1"
596,ANTONIO ANGEL,2.641 ,"44,4"
597,PABLO ANTONIO,2.640 ,"38,7"
598,JOHN,2.637 ,"49,8"
599,OVIDIO,2.613 ,"64,2"
600,CARLOS MIGUEL,2.610 ,"41,7"
601,ESTEVE,2.610 ,"46,3"
602,ABDELLATIF,2.598 ,"39,7"
603,LEON,2.595 ,"42,0"
604,ROC,2.592 ,"9,5"
605,ABDERRAHMAN,2.587 ,"37,9"
606,VLADIMIR,2.584 ,"41,1"
607,VOLODYMYR,2.583 ,"42,8"
608,AMBROSIO,2.569 ,"65,5"
609,WALID,2.567 ,"11,6"
610,YERAI,2.565 ,"10,8"
611,IBRAHIMA,2.561 ,"33,6"
612,PEDRO FRANCISCO,2.557 ,"47,3"
