Steffen,Klassert
Jan,Kiszka
Guenter,Roeck
Dave,Kleikamp
Guo-Fu,Tseng
David,Woodhouse
Theodore,Ts’o
Mikhail,Ulyanov
Clemens,Ladisch
Rudolf,Marek
Andrey,Ryabinin
Masahiro,Yamada
Marco,Elver
Dave,Young
Hans,Verkuil
Ian,Kent
Masahiro,Yamada
J.,Bruce,Fields
Shuah,Khan
Brendan,Higgins
Luis,Chamberlain
Paolo,Bonzini
Marc,Zyngier
Paul,Mackerras
Christian,Borntraeger
Paolo,Bonzini
Greg,Kroah-Hartman
Eric,Biederman
Mimi,Zohar
James,Bottomley
David,Howells
Stefani,Seibold
Jason,Wessel
Catalin,Marinas
Luis,Chamberlain
Naveen,N.,Rao
Miguel,Ojeda,Sandonis
David,Ahern
John,Fastabend
Hauke,Mehrtens
John,Crispin
James,E.J.,Bottomley
Tobin,C.,Harding
Jacek,Anaszewski
Jean,Delvare
Juergen,Stuber
Matan,Ziv-Av
Michael,Krufky
Michael,Krufky
Viresh,Kumar
Bartlomiej,Zolnierkiewicz
Linus,Walleij
Hans,de,Goede
Mikael,Pettersson
Jens,Axboe
Sasha,Levin
Dan,Williams
Vishal,Verma
Dan,Williams
Oliver,O’Halloran
Dan,Williams
Thomas,Gleixner
Matias,Bjorling
Mark,Brown
Benjamin,Herrenschmidt
Michael,Ellerman
Anatolij,Gustschin
Scott,Wood
Christophe,Leroy
Kees,Cook
Alan,Stern
Eric,Piel
David,Gow
Josh,Poimboeuf
Guillaume,Ligneul
Jean,Delvare
Jean,Delvare
Jean,Delvare
Guenter,Roeck
Malcolm,Priestley
Kees,Cook
Peter,Zijlstra
Richard,Russon,(FlatCap)
Hans,de,Goede
Sathya,Prakash
Matthew,Wilcox
Marcus,Folkesson
Nuno,Sá
Nuno,Sá
Guenter,Roeck
Michael,Hennerich
Mike,Frysinger
Geert,Uytterhoeven
Joshua,Thompson
Philip,Blundell
Antti,Palosaari
Malcolm,Priestley
Alexey,Klimov
Johannes,Berg
Jassi,Brar
Michael,Kerrisk
Rahul,Bedarkar
Andrew,Lunn
Miquel,Raynal
Russell,King
Boris,Brezillon
Mirko,Lindner
Russell,King
Sebastian,Hesselbarth
Russell,King
Miquel,Raynal
Thomas,Petazzoni
