,,
,,
2001,,
Name,Number of Babies,Rank
Solomon,..,..
Soul,..,..
Spencer,..,..
Sriraman,..,..
Steafan,..,..
Stephane,..,..
Stevie,..,..
Tadc,..,..
Talal,..,..
Tanishq,..,..
Taran,..,..
Tarlach,..,..
Teddy,..,..
Teirnan,..,..
Terry,..,..
Thom,..,..
Tiernay,..,..
Tighearnach,..,..
Tim,..,..
Timo,..,..
Tj,..,..
Tobias,..,..
Tommi,..,..
Tommy,..,..
Torrens,..,..
Trae,..,..
Trafford,..,..
Tre,..,..
Trevis,..,..
Tristin,..,..
Trystan,..,..
Turlach,..,..
Tyrek,..,..
Tyrin,..,..
Vern,..,..
Veselin,..,..
Victor,..,..
Vikesh,..,..
Wajid,..,..
Walter,..,..
Warner,..,..
Wayde,..,..
Wesley,..,..
Wilfred,..,..
Will,..,..
Willis,..,..
Worlali,..,..
Xan,..,..
Xander,..,..
Yassen,..,..
Yazin,..,..
Youcef,..,..
Yousuf,..,..
Yuki,..,..
Zachariah,..,..
Zain,..,..
Zander,..,..
Zane,..,..
Zechariah,..,..
Zeshan,..,..
Zhi,..,..
