num,Name,Year
61,Olivia,2001
84,Olivia,2001
71,Olivia,2002
74,Olivia,2002
72,Olivia,2003
70,Olivia,2003
69,Olivia,2004
83,Olivia,2004
58,Olivia,2005
99,Olivia,2005
55,Olivia,2006
120,Olivia,2006
42,Olivia,2007
172,Olivia,2007
41,Olivia,2008
190,Olivia,2008
39,Olivia,2009
197,Olivia,2009
27,Olivia,2010
271,Olivia,2010
28,Olivia,2011
252,Olivia,2011
30,Olivia,2012
230,Olivia,2012
27,Olivia,2013
222,Olivia,2013
20,Olivia,2014
287,Olivia,2014
14,Olivia,2015
297,Olivia,2015
13,Olivia,2016
303,Olivia,2016
11,Olivia,2017
294,Olivia,2017
19,Jessica,1998
233,Jessica,1998
23,Jessica,1999
227,Jessica,1999
21,Jessica,2000
260,Jessica,2000
20,Jessica,2001
262,Jessica,2001
17,Jessica,2002
302,Jessica,2002
19,Jessica,2003
292,Jessica,2003
23,Jessica,2004
264,Jessica,2004
20,Jessica,2005
311,Jessica,2005
20,Jessica,2006
322,Jessica,2006
21,Jessica,2007
298,Jessica,2007
22,Jessica,2008
304,Jessica,2008
27,Jessica,2009
257,Jessica,2009
30,Jessica,2010
245,Jessica,2010
31,Jessica,2011
246,Jessica,2011
29,Jessica,2012
236,Jessica,2012
28,Jessica,2013
215,Jessica,2013
32,Jessica,2014
173,Jessica,2014
38,Jessica,2015
160,Jessica,2015
48,Jessica,2016
131,Jessica,2016
38,Jessica,2017
150,Jessica,2017
2,Ciara,1998
539,Ciara,1998
4,Ciara,1999
585,Ciara,1999
3,Ciara,2000
608,Ciara,2000
5,Ciara,2001
552,Ciara,2001
3,Ciara,2002
577,Ciara,2002
4,Ciara,2003
535,Ciara,2003
6,Ciara,2004
500,Ciara,2004
6,Ciara,2005
484,Ciara,2005
10,Ciara,2006
408,Ciara,2006
12,Ciara,2007
410,Ciara,2007
14,Ciara,2008
400,Ciara,2008
19,Ciara,2009
337,Ciara,2009
17,Ciara,2010
364,Ciara,2010
26,Ciara,2011
284,Ciara,2011
32,Ciara,2012
227,Ciara,2012
29,Ciara,2013
214,Ciara,2013
28,Ciara,2014
198,Ciara,2014
29,Ciara,2015
205,Ciara,2015
39,Ciara,2016
158,Ciara,2016
41,Ciara,2017
139,Ciara,2017
60,Zoe,1998
65,Zoe,1998
66,Zoe,1999
69,Zoe,1999
42,Zoe,2000
115,Zoe,2000
42,Zoe,2001
129,Zoe,2001
43,Zoe,2002
133,Zoe,2002
41,Zoe,2003
136,Zoe,2003
45,Zoe,2004
132,Zoe,2004
43,Zoe,2005
150,Zoe,2005
47,Zoe,2006
141,Zoe,2006
54,Zoe,2007
135,Zoe,2007
47,Zoe,2008
162,Zoe,2008
42,Zoe,2009
188,Zoe,2009
46,Zoe,2010
170,Zoe,2010
37,Zoe,2011
204,Zoe,2011
34,Zoe,2012
196,Zoe,2012
30,Zoe,2013
211,Zoe,2013
32,Zoe,2014
173,Zoe,2014
30,Zoe,2015
204,Zoe,2015
26,Zoe,2016
219,Zoe,2016
31,Zoe,2017
189,Zoe,2017
163,Isabelle,1998
20,Isabelle,1998
177,Isabelle,1999
20,Isabelle,1999
127,Isabelle,2000
32,Isabelle,2000
104,Isabelle,2001
46,Isabelle,2001
77,Isabelle,2002
64,Isabelle,2002
100,Isabelle,2003
51,Isabelle,2003
76,Isabelle,2004
72,Isabelle,2004
62,Isabelle,2005
98,Isabelle,2005
50,Isabelle,2006
129,Isabelle,2006
43,Isabelle,2007
167,Isabelle,2007
41,Isabelle,2008
190,Isabelle,2008
32,Isabelle,2009
233,Isabelle,2009
26,Isabelle,2010
275,Isabelle,2010
27,Isabelle,2011
265,Isabelle,2011
26,Isabelle,2012
252,Isabelle,2012
31,Isabelle,2013
207,Isabelle,2013
26,Isabelle,2014
223,Isabelle,2014
26,Isabelle,2015
224,Isabelle,2015
28,Isabelle,2016
202,Isabelle,2016
26,Isabelle,2017
197,Isabelle,2017
6,Niamh,1998
492,Niamh,1998
5,Niamh,1999
571,Niamh,1999
6,Niamh,2000
519,Niamh,2000
6,Niamh,2001
477,Niamh,2001
8,Niamh,2002
407,Niamh,2002
11,Niamh,2003
370,Niamh,2003
10,Niamh,2004
421,Niamh,2004
13,Niamh,2005
